District,"Electoral Area",Ward,"From http://www.legislation.hmso.gov.uk/si/si1993/Uksi_19930226_en_2.htm"
Antrim,"Antrim North West",Cranfield,
,,Drumanaway,
,,Randalstown,
,,Shilvodan,
,,Toome,
,"Antrim South East",Aldergrove,
,,Ballycraigy,
,,Clady,
,,Crumlin,
,,Farranshane,
,,Parkgate,
,,Templepatrick,
,"Antrim Town",Balloo,
,,"Fountain Hill",
,,Greystone,
,,Massereene,
,,Springfarm,
,,Steeple,
,,Stiles,
Ards,"Ards East","Donaghadee North",
,,"Donaghadee South",
,,Gregstown,
,,Loughries,
,,Millisle,
,,Movilla,
,"Ards Peninsula",Ballywalter,
,,Carrowdore,
,,Kircubbin,
,,Portaferry,
,,Portavogie,
,"Ards West",Ballygowan,
,,"Comber East",
,,"Comber North",
,,"Comber West",
,,Killinchy,
,,Lisbane,
,Newtownards,Ballyrainey,
,,"Bradshaw's Brae",
,,Central,
,,Glen,
,,Scrabo,
,,Whitespots,
Armagh,"Armagh City","Abbey Park",
,,"Callan Bridge",
,,Demesne,
,,Downs,
,,Observatory,
,,"The Mall",
,Crossmore,Carrigatuke,
,,Derrynoose,
,,Keady,
,,Killylea,
,,Milford,
,Cusher,Hamiltonsbawn,
,,Killeen,
,,Laurelvale,
,,Markethill,
,,"Poyntz Pass",
,,Tandragee,
,"The Orchard",Ballymartrim,
,,Charlemont,
,,Hockley,
,,Loughgall,
,,"Rich Hill",
Ballymena,"Ballymena North",Academy,
,,Ardeevin,
,,Ballyloughan,
,,Dunclug,
,,"Fair Green",
,,Galgorm,
,,Park,
,"Ballymena South",Ballee,
,,Ballykeel,
,,"Castle Demesne",
,,Harryville,
,,Kells,
,,Moat,
,,Summerfield,
,Bannside,Ahoghill,
,,Cullybackey,
,,Dunminning,
,,Grange,
,,Portglenone,
,Braid,Broughshane,
,,Craigywarren,
,,Glenravel,
,,Glenwhirry,
,,Slemish,
Ballymoney,"Ballymoney Town",Carnany,
,,Fairhill,
,,Glebe,
,,Newhill,
,,Route,
,"Bann Valley","Clogh Mills",
,,Dunloy,
,,"Killoquin Lower",
,,"Killoquin Upper",
,,Seacon,
,,"The Vow",
,Bushvale,"Balyhoe and Corkey",
,,Benvardin,
,,Dervock,
,,Knockaholet,
,,Stranocum,
Banbridge,"Banbridge Town",Ballydown,
,,"Banbridge West",
,,Edenderry,
,,Fort,
,,Seapatrick,
,,"The Cut",
,Dromore,Ballyward,
,,"Dromore North",
,,"Dromore South",
,,Gransha,
,,Quilly,
,Knockiveagh,Bannside,
,,Gilford,
,,Katesbridge,
,,Lawrencetown,
,,Loughbrickland,
,,Rathfriland,
Belfast,Balmoral,Blackstaff,
,,Finaghy,
,,Malone,
,,Musgrave,
,,"Upper Malone",
,,Windsor,
,Castle,Bellevue,
,,Castleview,
,,Cavehill,
,,"Chichester Park",
,,Duncairn,
,,Fortwilliam,
,Court,Crumlin,
,,Glencairn,
,,Highfield,
,,Shankill,
,,Woodvale,
,Laganbank,Ballynafeigh,
,,Botanic,
,,Rosetta,
,,Shaftesbury,
,,Stranmillis,
,"Lower Falls",Beechmount,
,,Clonard,
,,Falls,
,,"Upper Springfield",
,,Whiterock,
,Oldpark,Ardoyne,
,,Ballysillan,
,,Cliftonville,
,,Legoniel,
,,"New Lodge",
,,"Water Works",
,Pottinger,Ballymacarrett,
,,Bloomfield,
,,Orangefield,
,,Ravenhill,
,,"The Mount",
,,Woodstock,
,"Upper Falls",Andersonstown,
,,"Falls Park",
,,Glencolin,
,,"Glen Road",
,,Ladybrook,
,Victoria,Ballyhackamore,
,,Belmont,
,,Cherryvalley,
,,Island,
,,Knock,
,,Stormont,
,,Sydenham,
Carrickfergus,"Carrick Castle",Killycrot,
,,"Love Lane",
,,Milebush,
,,Northland,
,,Sunnylands,
,Kilroot,Blackhead,
,,Bluefield,
,,Boneybefore,
,,Eden,
,,Victoria,
,,Whitehead,
,"Knockagh Monument","Burleigh Hill",
,,Clipperstown,
,,Gortalee,
,,Greenisland,
,,Knockagh,
,,Woodburn,
Castlereagh,"Castlereagh Central",Cregagh,
,,Downshire,
,,Lisnasharragh,
,,"Lower Braniel",
,,"Upper Braniel",
,,Wynchurch,
,"Castlereagh East",Ballyhanwood,
,,Carrowreagh,
,,Dundonald,
,,Enler,
,,Gilnahirk,
,,"Graham's Bridge",
,,Tullycarnet,
,"Castlereagh South",Cairnshill,
,,"Carryduff East",
,,"Carryduff West",
,,Knockbracken,
,,Moneyreagh,
,"Castlereagh West",Beechill,
,,Galwally,
,,Hillfoot,
,,Minnowburn,
,,Newtownbreda,
Coleraine,Bann,Agivey,
,,Castlerock,
,,Garvagh,
,,Kilrea,
,,Macosquin,
,,Ringsend,
,"Coleraine Central",Central,
,,Churchland,
,,Knocklynn,
,,"Mount Sandel",
,,"The Cuts",
,,Waterside,
,"Coleraine East",Ballysally,
,,"Cross Glebe",
,,Dundooan,
,,Dunluce,
,,University,
,"The Skerries",Atlantic,
,,Hopefield,
,,Portstewart,
,,"Royal Portrush",
,,Strand,
Cookstown,Ballinderry,Ardboe,
,,Coagh,
,,Killycolpy,
,,Moneymore,
,,Stewartstown,
,,"The Loop",
,"Cookstown Central",Gortalowry,
,,Killymoon,
,,Newbuildings,
,,Oldtown,
,,Tullagh,
,"Drum Manor",Dunnamore,
,,Lissan,
,,Oaklands,
,,Pomeroy,
,,Sandholes,
Craigavon,Central,Bleary,
,,Drumgask,
,,Drumgor,
,,Edenderry,
,,Kernan,
,,Killycomain,
,,Taghnevan,
,Loughside,Aghagallon,
,,Court,
,,Derrytrasna,
,,Drumnamoe,
,,Woodville,
,Lurgan,Church,
,,Donaghcloney,
,,Knocknashane,
,,Magheralin,
,,Mourneview,
,,Parklake,
,,Waringstown,
,Portadown,Annagh,
,,Ballybay,
,,Ballyoran,
,,Brownstown,
,,Corcrain,
,,Tavanagh,
,,"The Birches",
"Derry City",Cityside,Beechwood,
,,Brandywell,
,,"Creggan Central",
,,"Creggan South",
,,Westland,
,Northland,Crevagh,
,,"Foyle Springs",
,,Pennyburn,
,,Rosemount,
,,Springtown,
,,Strand,
,,"The Diamond",
,Rural,Banagher,
,,Claudy,
,,Eglinton,
,,Enagh,
,,"Holly Mount",
,,"New Buildings",
,Shantallow,Ballynashallog,
,,"Carn Hill",
,,Culmore,
,,"Shantallow East",
,,"Shantallow West",
,Waterside,Altnagelvin,
,,Caw,
,,Clondermot,
,,Ebrington,
,,Kilfennan,
,,Lisnagelvin,
,,Victoria,
Down,Ballynahinch,Ballymaglave,
,,"Ballynahinch East",
,,Drumaness,
,,Dunmore,
,,Seaforde,
,Downpatrick,Ardglass,
,,"Audleys Acre",
,,Ballymote,
,,Cathedral,
,,Killough,
,,Quoile,
,,Strangford,
,Newcastle,Castlewellan,
,,Donard,
,,Dundrum,
,,Murlough,
,,Shimna,
,,Tollymore,
,Rowallane,Crossgar,
,,Derryboy,
,,Killyleagh,
,,Kilmore,
,,Saintfield,
Dungannon and South Tyrone,Blackwater,Aughnacloy,
,,Benburb,
,,Caledon,
,,Killyman,
,,Moy,
,"Clogher Valley",Augher,
,,Ballygawley,
,,Castlecaulfield,
,,Clogher,
,,Fivemiletown,
,"Dungannon Town",Ballysaggart,
,,Coolhill,
,,Drumglass,
,,Killymeal,
,,Moygashel,
,,Mullaghmore,
,Torrent,Altmore,
,,"Coalisland North",
,,"Coalisland South",
,,"Coalisland West and Newmills",
,,Donaghmore,
,,"Washing Bay",
Fermanagh,Enniskillen,Castlecoole,
,,Devenish,
,,Erne,
,,Lisbellaw,
,,Portora,
,,Rossorry,
,,Tempo,
,"Erne East",Brookeborough,
,,Donagh,
,,Lisnaskea,
,,"Maguires Bridge",
,,Newtownbutler,
,,Rosslea,
,"Erne North",Ballinamallard,
,,"Belleek and Boa",
,,Irvinestown,
,,"Kesh, Ederney and Lack",
,,Lisnarrick,
,"Erne West","Belcoo and Garrison",
,,"Boho, Cleenish and Letterbreen",
,,Derrygonnelly,
,,Derrylin,
,,"Florence Court and Kinawley",
Larne,"Coast Road",Ballyloran,
,,Carncastle,
,,Carnlough,
,,"Craigy Hill",
,,Glenarm,
,"Larne Lough",Antiville,
,,Ballycarry,
,,Glynn,
,,"Island Magee",
,,Kilwaughter,
,"Larne Town",Blackcave,
,,Central,
,,Gardenmore,
,,Harbour,
,,"Town Parks",
Limavady,Bellarena,Aghanloo,
,,Ballykelly,
,,Glack,
,,Gresteel,
,,Magilligan,
,Benbradagh,Dungiven,
,,Feeny,
,,Forest,
,,"The Highlands",
,,"Upper Glenshane",
,"Limavady Town",Coolessan,
,,Enagh,
,,Greystone,
,,Rathbrady,
,,Roeside,
Lisburn,Downshire,Ballymacbrennan,
,,Dromara,
,,Drumbo,
,,Hillsborough,
,,Maze,
,"Dunmurry Cross","Collin Glen",
,,Derryaghy,
,,Dunmurry,
,,Kilwee,
,,Poleglass,
,,"Seymour Hill",
,,Twinbrook,
,Killultagh,Ballinderry,
,,Glenavy,
,,Knockmore,
,,Maghaberry,
,,Moira,
,"Lisburn Town North",Ballymacash,
,,Ballymacoss,
,,"Harmony Hill",
,,Lambeg,
,,Lisnagarvy,
,,Magheralave,
,,"Wallace Park",
,"Lisburn Town South",Blaris,
,,Hilden,
,,Hillhall,
,,"Lagan Valley",
,,"Old Warren",
,,Tonagh,
Magherafelt,"Magherafelt Town",Ballymaguigan,
,,Glebe,
,,Knockcloghrim,
,,Lecumpher,
,,"Town Parks East",
,,"Town Parks West",
,Moyola,Bellaghy,
,,Castledawson,
,,Gulladuff,
,,Upperlands,
,,Valley,
,Sperrin,Draperstown,
,,"Lower Glenshane",
,,Maghera,
,,Swatragh,
,,Tobermore,
Moyle,Ballycastle,"Bonamargy and Rathlin",
,,Dalriada,
,,Glentaisie,
,,Kinbane,
,,Knocklayd,
,"Giant's Causeway",Ballylough,
,,Bushmills,
,,Carnmoon,
,,Dunseverick,
,,"Moss-Side and Moyarget",
,"The Glens",Armoy,
,,Glenaan,
,,Glenariff,
,,Glendun,
,,Glenshesk,
"Newry and Mourne",Crotlieve,"Burren and Kilbroney",
,,Clonallan,
,,Derryleckagh,
,,Mayobridge,
,,Rostrevor,
,,Seaview,
,,Spelga,
,"Newry Town",Ballybot,
,,"Daisy Hill",
,,Drumalane,
,,Drumgullion,
,,"St. Mary's",
,,"St. Patrick's",
,,"Windsor Hill",
,"Slieve Gullion",Creggan,
,,Crossmaglen,
,,Fathom,
,,Forkhill,
,,"Silver Bridge",
,"The Fews",Bessbrook,
,,Camlough,
,,Derrymore,
,,Donaghmore,
,,Newtownhamilton,
,,Tullyhappy,
,"The Mournes",Annalong,
,,Binnian,
,,"Kilkeel Central",
,,"Kilkeel South",
,,Lisnacree,
Newtownabbey,"Antrim Line",Ballyhenry,
,,Burnthill,
,,Collinbridge,
,,Glebe,
,,Glengormley,
,,Hightown,
,,Mallusk,
,Ballyclare,"Ballyclare North",
,,"Ballyclare South",
,,Ballynure,
,,Ballyrobert,
,,Doagh,
,Macedon,Abbey,
,,Cloughfern,
,,Coole,
,,Dunanney,
,,Valley,
,,Whitehouse,
,University,Ballyduff,
,,Carnmoney,
,,Hawthorne,
,,Jordanstown,
,,Monkstown,
,,Mossley,
,,Rostulla,
"North Down",Abbey,"Bangor Castle",
,,Bloomfield,
,,Conlig,
,,Harbour,
,,Rathgael,
,,Whitehill,
,"Ballyholme and Groomsport",Ballycrochan,
,,Ballyholme,
,,Ballymaconnell,
,,Ballymagee,
,,Broadway,
,,Churchill,
,,Groomsport,
,"Bangor West",Bryansburn,
,,Clandeboye,
,,Crawfordsburn,
,,Dufferin,
,,Princetown,
,,Silverstream,
,,"Spring Hill",
,Holywood,Craigavad,
,,Cultra,
,,"Holywood Demesne",
,,"Holywood Priory",
,,Loughview,
Omagh,"Mid Tyrone",Beragh,
,,Drumnakilly,
,,Gortin,
,,Killyclogher,
,,Owenkillew,
,,Sixmilecross,
,,Termon,
,"Omagh Town",Camowen,
,,Coolnagard,
,,Dergmoney,
,,Drumragh,
,,Gortrush,
,,Lisanelly,
,,Strule,
,"West Tyrone",Clanabogan,
,,Dromore,
,,Drumquin,
,,"Fairy Water",
,,Fintona,
,,Newtownsaville,
,,Trillick,
Strabane,Derg,Castlederg,
,,Clare,
,,Finn,
,,Glenderg,
,,Newtownstewart,
,Glenelly,Artigarvan,
,,Dunnamanagh,
,,Plumbridge,
,,Slievekirk,
,,"Victoria Bridge",
,Mourne,Ballycolman,
,,East,
,,North,
,,"Sion Mills",
,,South,
,,West,
